,ClosePrice,YearBuilt,OriginalListPrice,PostalCode,PropertySubType,BedroomsTotal,BathroomsTotalInteger,Latitude,Longitude,LivingArea,StoriesTotal,LotSizeSquareFeet,CloseDate,CommonWalls,Single Family Residence,Condominium,Multi,Townhouse,AppliancesYN,CoolingYN,FireplaceYN,HeatingYN,LaundryYN,ParkingYN,PatioYN,PoolPrivateYN,ViewYN,Age,CloseMonth,CloseYear,WinterIsComing,BondDate,Bond10Year
1,1890000.0,1941.0,1800000.0,90405,Single Family Residence,2.0,1.0,34.020163000000004,-118.460235,1265.0,1.0,7814.0,2018-01-24,1,1,0,0,0,1,0,1,1,1,1,0,0,0,79.0,1,2018,1,2017-12-25,1.77
2,720000.0,1964.0,775000.0,90405,Condominium,1.0,1.0,34.004771000000005,-118.482761,665.0,2.0,7159.0,2018-04-10,0,0,1,0,0,1,0,0,1,1,1,0,0,1,56.0,4,2018,0,2018-03-11,2.836564088841302
3,1550000.0,1936.0,1695000.0,90405,Single Family Residence,3.0,2.0,34.019241,-118.464033,1471.0,1.0,6740.0,2018-02-21,1,1,0,0,0,1,0,1,1,1,1,1,0,0,84.0,2,2018,1,2018-01-22,2.66
4,525000.0,1950.0,499000.0,90405,Condominium,1.0,1.0,34.02633400000001,-118.4521,627.0,2.0,17862.0,2018-01-11,0,0,1,0,0,1,0,0,0,1,1,1,0,1,70.0,1,2018,1,2017-12-12,2.4
5,1211000.0,1967.0,995000.0,90405,Condominium,3.0,2.0,34.004162,-118.47618,1130.0,2.0,6416.0,2018-01-24,0,0,1,0,0,1,0,0,1,1,1,1,0,1,53.0,1,2018,1,2017-12-25,1.77
6,1710000.0,1927.0,1650000.0,90405,Single Family Residence,2.0,1.0,34.012443,-118.463262,1112.0,1.0,7014.0,2017-11-30,1,1,0,0,0,0,0,1,0,0,1,0,0,0,93.0,11,2017,1,2017-10-31,2.38
7,790000.0,1963.0,,90405,Townhouse,2.0,3.0,34.008618,-118.482418,1140.0,1.0,6704.0,2017-11-28,0,0,0,0,1,1,0,1,0,1,1,0,0,1,57.0,11,2017,1,2017-10-29,2.296688541140846
8,1850000.0,1940.0,1795000.0,90405,Single Family Residence,3.0,2.0,34.015543,-118.462954,1670.0,1.0,6759.0,2017-12-29,1,1,0,0,0,1,0,1,1,1,1,1,0,0,80.0,12,2017,1,2017-11-29,2.37
9,1350000.0,1980.0,1250000.0,90405,Condominium,3.0,3.0,34.007488,-118.473372,1836.0,2.0,9993.0,2017-12-21,0,0,1,0,0,1,0,1,1,1,1,1,0,1,40.0,12,2017,1,2017-11-21,2.36
10,1950000.0,1948.0,2200000.0,90405,Single Family Residence,3.0,3.0,34.008202000000004,-118.460291,2228.0,3.0,7655.0,2018-02-27,1,1,0,0,0,1,0,0,1,1,1,1,0,1,72.0,2,2018,1,2018-01-28,2.836564088841302
